node_type
InsuranceCompany
InsurancePolicy
InsuranceDocument
InsuranceProduct
InsurancePlan
PolicyHolder
InsuredPerson
Beneficiary
FamilyMember
AgeGroup
Benefit
Exclusion
WaitingPeriod
InsurancePeriod
Premium
PaymentTerm
CoverageLimit
SumInsured
Deductible
PayoutRate
MedicalCondition
Injury
Disability
BodyPart
AnatomicalPart
MedicalService
MedicalServiceType
MedicalProcedure
MedicalTreatment
MedicalExpense
Medication
MedicalDevice
MedicalFacility
HospitalType
MedicalProfessional
MedicalDepartment
Claim
ClaimDocument
InsuranceEvent
Location
EligibilityCondition
CompensationBasis
