relationship_type
ISSUES
OFFERS
HAS_PLAN
HAS_BENEFIT
INCLUDES
COVERS
COVERS_PERSON
COVERS_EXPENSE
COVERS_SERVICE
COVERS_CONDITION
COVERS_TREATMENT
APPLIES_TO
HAS_WAITING_PERIOD
HAS_LIMIT
HAS_SUM_INSURED
HAS_PREMIUM
HAS_PAYOUT_RATE
HAS_EXCLUSION
EXCLUDES
EXCLUDES_CONDITION
EXCLUDES_TREATMENT
PROVIDES_BENEFIT
PROVIDES_SERVICE
TREATS
PERFORMED_AT
PERFORMED_BY
TREATED_AT
LOCATED_AT
IS_A
PART_OF
HAS_CATEGORY
HAS_CONDITION
REQUIRES_DOCUMENT
PROVIDES_DOCUMENT
SUBMITS_CLAIM
FILES_CLAIM
PAYS
PAYS_BENEFIT_TO
PAYS_PREMIUM
PURCHASES
SIGNS
HOLDS_POLICY
HAS_BENEFICIARY
DESIGNATES_BENEFICIARY
TRIGGERS_CLAIM
TRIGGERS_PAYMENT
TRIGGERS_BENEFIT
AFFECTS_BODY_PART
OCCURS_AT
EXPERIENCES
UNDERGOES
DIAGNOSES
PRESCRIBES
USES_DEVICE
SUBJECT_TO_WAITING_PERIOD
DEFINED_IN
GOVERNED_BY
SUPPORTS_DIRECT_BILLING
EXCLUDES_DIRECT_BILLING
PROVIDES_GUARANTEE
EXCLUDES_GUARANTEE
HAS_GEOGRAPHIC_SCOPE
HAS_EFFECTIVE_DATE
REQUIRES
CONTAINS
DEFINES
DETERMINES
CALCULATED_BY
