property_name
name
source_document_id
source_chunk_id
source_path
evidence_text
confidence
extraction_method
ingestion_version
company_code
legal_name
website
hotline
policy_number
issue_date
effective_date
expiry_date
status
document_id
document_name
document_type
version
publish_date
product_code
product_name
product_type
target_segment
plan_code
plan_name
tier
currency
person_id
full_name
date_of_birth
identifier_number
phone
gender
occupation
relationship_to_insured
payout_percentage
min_age
max_age
age_unit
benefit_code
benefit_type
description
covered_amount_text
exclusion_code
exclusion_type
duration_value
duration_unit
condition_text
start_date
end_date
amount
payment_frequency
premium_type
frequency
due_date_rule
grace_period_days
period
limit_type
basis
percentage
applies_per
rate_value
rate_unit
condition_code
condition_name
icd_code
pre_existing
injury_type
severity
cause
disability_type
body_part_name
body_region
anatomical_name
parent_part
service_code
service_name
service_type
inpatient_outpatient
service_type_code
service_type_name
procedure_code
procedure_name
surgical
treatment_name
treatment_type
expense_type
expense_date
medication_name
dosage
route
device_name
device_type
rental_or_purchase
facility_code
facility_name
facility_type
address
direct_billing_supported
type_name
public_private
level
professional_name
license_number
specialty
department_name
claim_id
claim_date
claim_status
requested_amount
approved_amount
submitted_date
issuer
event_id
event_type
event_date
location_name
location_type
country
province
district
occupation_class
basis_type
formula_text
