property_name
source_document_id
source_chunk_id
source_path
evidence_text
confidence
condition_text
valid_from
valid_to
extraction_method
ingestion_version
coverage_scope
benefit_amount_text
amount
currency
duration_value
duration_unit
payment_frequency
rate_value
rate_unit
exclusion_reason
event_date
location_scope
classification_basis
document_role
claim_status
authorization_required
effective_date
